Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilität_s
568,488;783,93000;10,00;7,50;Einlass;
569,475;783,92000;10,00;7,50;Einlass;
570,463;783,92000;10,00;7,50;Einlass;
571,451;783,89000;10,00;7,50;Einlass;
572,440;783,86000;10,00;7,50;Einlass;
573,428;783,85000;10,00;7,50;Einlass;
574,416;783,84000;10,00;7,50;Einlass;
575,403;783,82000;10,00;7,50;Einlass;
576,392;783,81000;10,00;7,50;Einlass;
577,379;783,80000;10,00;7,50;Einlass;
578,368;783,80000;10,00;7,50;Einlass;
579,355;783,81000;10,00;7,50;Einlass;
580,344;783,80000;10,00;7,50;Einlass;
581,331;783,81000;10,00;7,50;Einlass;
582,319;783,81000;10,00;7,50;Einlass;
583,307;783,80000;10,00;7,50;Einlass;
